Category,ComponentOne,ComponentTwo,ComponentOneLicense,ComponentTwoLicense,LicenseTerm,TermValueOne,TermValueTwo,TermDescriptionOne,TermDescriptionTwo
LEGAL,ActFramework Starter - Velocity 1.7.1.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Velocity 1.7.1.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Velocity 1.7.1.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActiveMQ JUnit Utilities 1.0.2,agent-bond-agent 1.2.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,agent-bond-agent 1.2.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,agent-bond-core 1.2.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,agent-bond-core 1.2.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,agent-bond-jmx_exporter 1.2.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,agent-bond-jmx_exporter 1.2.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,agent-bond-jolokia 1.2.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,agent-bond-jolokia 1.2.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,airframe-config 0.40,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,airframe-config 0.40,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,airframe-config 0.41,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,airframe-config 0.41,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,airframe-jmx 0.40,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,airframe-jmx 0.40,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,airframe-jmx 0.41,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,airframe-jmx 0.41,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,Apache ActiveMQ 5.13.5,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,Apache ActiveMQ 5.13.5,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,Apache Extras Companion for log4j 1.2. 1.2.17,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,Apache Extras Companion for log4j 1.2. 1.2.17,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,Apache jclouds :: Azure :: Compute API 2.1.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,Apache jclouds :: Azure :: Compute API 2.1.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,api-capture-info 1.4.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,api-capture-info 1.4.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,api-capture-info-schemas 1.4.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,api-capture-info-schemas 1.4.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,api-capture-playout 1.0.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,api-capture-playout 1.0.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,api-manager-test 3.0.0-m18,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,api-manager-test 3.0.0-m18,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,avro4s-json 1.8.3,[base] BSD 2.0 (base license),MIT License,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,axion-release-plugin 1.9.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,axion-release-plugin 1.9.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,Axon Framework Spring Support 3.1.3,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,Axon Framework Spring Support 3.1.3,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,Axon Metrics 3.1.3,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,Axon Metrics 3.1.3,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,axonhub-grpc-proto 1.0-beta3,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,axonhub-grpc-proto 1.0-beta3,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,com.springsource.org.apache.axis 1.4.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,com.springsource.org.apache.axis 1.4.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,GroupBy - API - Java - Flux 2.5.33,[base] BSD 2.0 (base license),MIT License,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,GroupBy - API - Java - Flux 2.5.34,[base] BSD 2.0 (base license),MIT License,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,jolokia-core 1.5.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,jolokia-core 1.5.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,jolokia-jvm 1.5.0,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,jolokia-jvm 1.5.0,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,json-simple 1.1.1,[base] BSD 2.0 (base license),Apache License 2.0,Place Additional Restrictions,FORBIDDEN,PERMITTED,You are not entitled to place additional restrictions,You intend to place additional restrictions
LEGAL,ActiveMQ JUnit Utilities 1.0.2,json-simple 1.1.1,[base] BSD 2.0 (base license),Apache License 2.0,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActiveMQ JUnit Utilities 1.0.2,LightJason AgentSpeak(L++) 0.0.1,[base] BSD 2.0 (base license),GNU Lesser General Public License v3.0 or later,Hold Liable,REQUIRED,FORBIDDEN,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,agent-bond-agent 1.2.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-agent 1.2.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-agent 1.2.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,agent-bond-agent 1.2.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-agent 1.2.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-agent 1.2.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,agent-bond-core 1.2.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-core 1.2.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-core 1.2.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,agent-bond-core 1.2.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-core 1.2.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-core 1.2.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,agent-bond-jmx_exporter 1.2.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-jmx_exporter 1.2.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-jmx_exporter 1.2.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,agent-bond-jmx_exporter 1.2.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-jmx_exporter 1.2.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-jmx_exporter 1.2.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,agent-bond-jolokia 1.2.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-jolokia 1.2.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-jolokia 1.2.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,agent-bond-jolokia 1.2.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-jolokia 1.2.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,agent-bond-jolokia 1.2.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,airframe-config 0.40,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-config 0.40,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-config 0.40,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,airframe-config 0.40,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-config 0.40,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-config 0.40,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,airframe-config 0.41,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-config 0.41,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-config 0.41,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,airframe-config 0.41,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-config 0.41,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-config 0.41,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,airframe-jmx 0.40,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-jmx 0.40,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-jmx 0.40,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,airframe-jmx 0.40,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-jmx 0.40,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-jmx 0.40,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,airframe-jmx 0.41,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-jmx 0.41,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,airframe-jmx 0.41,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
